Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE MILTONIA RESIDENCES,"1,380,000","1,173.28","1,176",Dec-24,MILTONIA CLOSE,Resale,Strata,109,"12,661",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
SEASONS VIEW,"1,460,000",968.76,"1,507",Dec-24,PEMIMPIN DRIVE,Resale,Strata,90,"16,222",-,Condominium,1,99 yrs lease commencing from 1996,20,Rest of Central Region,06 to 10
CAIRNHILL CREST,"1,654,000",818.06,"2,022",Dec-24,CAIRNHILL CIRCLE,Resale,Strata,76,"21,763",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
ONE-NORTH EDEN,"2,800,000","1,259.39","2,223",Dec-24,SLIM BARRACKS RISE,Sub Sale,Strata,117,"23,932",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
COSTA RHU,"3,280,000","2,055.92","1,595",Dec-24,RHU CROSS,Resale,Strata,191,"17,173",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
AMBER PARK,"1,950,000",699.66,"2,787",Dec-24,AMBER GARDENS,Resale,Strata,65,"30,000",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
THE GLADES,"1,530,000",861.12,"1,777",Dec-24,BEDOK RISE,Resale,Strata,80,"19,125",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,06 to 10
THE BAYSHORE,"1,275,000",979.52,"1,302",Dec-24,BAYSHORE ROAD,Resale,Strata,91,"14,011",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,06 to 10
THE ROCHESTER RESIDENCES,"1,325,000","1,022.58","1,296",Dec-24,ROCHESTER DRIVE,Resale,Strata,95,"13,947",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,11 to 15
KALLANG RIVERSIDE,"2,150,000","1,033.34","2,081",Dec-24,KAMPONG BUGIS,Resale,Strata,96,"22,396",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
BEVERLY HILL,"8,750,000","3,778.16","2,316",Dec-24,GRANGE ROAD,Resale,Strata,351,"24,929",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
