Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Nearest MRT Stations,Nearby Hawker Centers,Shopping Malls Within Radius of 1km
ROYAL HALLMARK,"2,190,000","1,130.22","1,933",May-22,HAIG LANE,New Sale,Strata,105,"20,810","2,185,000",Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.30907421145446,103.898319919507,1 HAIG LANE ROYAL HALLMARK SINGAPORE 438803,,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Roxy Square; City Plaza
ATLASSIA,"1,284,192",624.31,"2,057",May-22,JOO CHIAT PLACE,New Sale,Strata,58,"22,141",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.3132765773147,103.900982170938,30 JOO CHIAT PLACE ATLASSIA SINGAPORE 427754,EUNOS MRT STATION,Eunos Crescent Blk 4A; Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Singpost Centre; City Plaza
MEYER MANSION,"4,520,800","1,722.24","2,625",May-22,MEYER ROAD,New Sale,Strata,160,"28,255",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,1.29647219511777,103.891034649257,79 MEYER ROAD MEYER MANSION SINGAPORE 437906,KATONG PARK MRT STATION; TANJONG KATONG MRT STATION,,
LIV @ MB,"1,780,000",753.48,"2,362",May-22,ARTHUR ROAD,New Sale,Strata,70,"25,429",-,Condominium,1,99 yrs lease commencing from 2021,15,Rest of Central Region,06 to 10,1.29958935305958,103.888033424335,114D ARTHUR ROAD LIV @ MB SINGAPORE 439837,KATONG PARK MRT STATION; MOUNTBATTEN MRT STATION; DAKOTA MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Kallang Estate Fresh Market and Food Centre,
LIV @ MB,"1,796,000",753.48,"2,384",May-22,ARTHUR ROAD,New Sale,Strata,70,"25,657",-,Condominium,1,99 yrs lease commencing from 2021,15,Rest of Central Region,06 to 10,1.29958935305958,103.888033424335,114D ARTHUR ROAD LIV @ MB SINGAPORE 439837,KATONG PARK MRT STATION; MOUNTBATTEN MRT STATION; DAKOTA MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Kallang Estate Fresh Market and Food Centre,
ATLASSIA,"1,293,552",624.31,"2,072",May-22,JOO CHIAT PLACE,New Sale,Strata,58,"22,303",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.3132765773147,103.900982170938,30 JOO CHIAT PLACE ATLASSIA SINGAPORE 427754,EUNOS MRT STATION,Eunos Crescent Blk 4A; Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Singpost Centre; City Plaza
LIV @ MB,"3,010,000","1,270.15","2,370",May-22,ARTHUR ROAD,New Sale,Strata,118,"25,508",-,Condominium,1,99 yrs lease commencing from 2021,15,Rest of Central Region,06 to 10,1.29958935305958,103.888033424335,114D ARTHUR ROAD LIV @ MB SINGAPORE 439837,KATONG PARK MRT STATION; MOUNTBATTEN MRT STATION; DAKOTA MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Kallang Estate Fresh Market and Food Centre,
MABELLE,"1,170,000",775.01,"1,510",May-22,LORONG M TELOK KURAU,Resale,Strata,72,"16,250",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1.31058919335556,103.909513431191,15 LORONG M TELOK KURAU MABELLE SINGAPORE 425303,MARINE TERRACE MRT STATION; MARINE PARADE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Marine Terrace Blk 50A (50A Marine Terrace); Dunman Food Centre,Katong Square; i12 Katong; Roxy Square
VILLA MARINA,"1,480,000","1,130.22","1,309",May-22,JALAN SEMPADAN,Resale,Strata,105,"14,095",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05,1.3110605533014,103.9279625451,21 JALAN SEMPADAN VILLA MARINA SINGAPORE 457398,SIGLAP MRT STATION,East Coast Lagoon Food Village,
THE HACIENDA,"2,680,000","1,894.46","1,415",May-22,HACIENDA GROVE,Resale,Strata,176,"15,227",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05,1.31435155989455,103.926635128506,3 HACIENDA GROVE THE HACIENDA SINGAPORE 457909,SIGLAP MRT STATION,,
ATLASSIA,"1,311,242",602.78,"2,175",May-22,JOO CHIAT PLACE,New Sale,Strata,56,"23,415",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.3132765773147,103.900982170938,30 JOO CHIAT PLACE ATLASSIA SINGAPORE 427754,EUNOS MRT STATION,Eunos Crescent Blk 4A; Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Singpost Centre; City Plaza
H RESIDENCES,"696,000",473.62,"1,470",May-22,LORONG H TELOK KURAU,Resale,Strata,44,"15,818",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1.31570830110214,103.908882701488,50A LORONG H TELOK KURAU H RESIDENCES SINGAPORE 426049,KEMBANGAN MRT STATION; EUNOS MRT STATION,Eunos Crescent Blk 4A,
THE SHORE RESIDENCES,"1,810,000","1,054.87","1,716",May-22,AMBER ROAD,Resale,Strata,98,"18,469",-,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,06 to 10,1.30280768824406,103.900988897666,81 AMBER ROAD THE SHORE RESIDENCES SINGAPORE 439893,MARINE PARADE MRT STATION; TANJONG KATONG MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
THE WATERSIDE,"3,800,000","2,142.04","1,774",May-22,TANJONG RHU ROAD,Resale,Strata,199,"19,095",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10,1.29670486203676,103.882768688199,11 TANJONG RHU ROAD THE WATERSIDE SINGAPORE 436896,KATONG PARK MRT STATION,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),Leisure Park Kallang
SANCTUARY GREEN,"2,028,000","1,399.32","1,449",May-22,TANJONG RHU ROAD,Resale,Strata,130,"15,600",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10,1.29599148822782,103.870659351612,187 TANJONG RHU ROAD SANCTUARY GREEN SINGAPORE 436925,TANJONG RHU MRT STATION; NICOLL HIGHWAY MRT STATION; STADIUM MRT STATION,,Kallang Wave Mall; Leisure Park Kallang
PEBBLE BAY,"1,950,000","1,302.44","1,497",May-22,TANJONG RHU ROAD,Resale,Strata,121,"16,116",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10,1.298089024558,103.871049333284,136 TANJONG RHU ROAD PEBBLE BAY SINGAPORE 436921,TANJONG RHU MRT STATION; STADIUM MRT STATION; NICOLL HIGHWAY MRT STATION,Golden Mile Food Centre,Kallang Wave Mall; Leisure Park Kallang
