Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Nearest MRT Stations,Nearby Hawker Centers,Shopping Malls Within Radius of 1km
ONE PEARL BANK,"1,410,000",570.49,"2,472",Jun-25,PEARL BANK,Sub Sale,Strata,53,"26,604",-,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,16 to 20,1.28296148659589,103.839814598308,1 PEARL BANK ONE PEARL BANK SINGAPORE 169016,OUTRAM PARK MRT STATION; OUTRAM PARK MRT STATION; OUTRAM PARK MRT STATION; CHINATOWN MRT STATION; MAXWELL MRT STATION; CHINATOWN MRT STATION; HAVELOCK MRT STATION; TELOK AYER MRT STATION; TANJONG PAGAR MRT STATION; CLARKE QUAY MRT STATION,Amoy Street Food Centre (Telok Ayer Food Centre); Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre); Upper Cross Street Blk 531A (Hong Lim Food Centre and Market); Maxwell Food Centre (Kim Hua Market); Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Smith Street Blk 335 (Chinatown Complex Market); New Market Road Blk 32 (People's Park Food Centre),People's Park Centre; People's Park Complex; Singapore Shopping Centre; Tanjong Pagar Centre
THE CREST,"1,965,000",947.23,"2,074",Jun-25,PRINCE CHARLES CRESCENT,Resale,Strata,88,"22,330",-,Condominium,1,99 yrs lease commencing from 2012,3,Rest of Central Region,01 to 05,1.29281920942183,103.819293138156,105 PRINCE CHARLES CRESCENT THE CREST SINGAPORE 159019,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Beo Crescent Market,
ONE PEARL BANK,"1,800,000",699.66,"2,573",Jun-25,PEARL BANK,Sub Sale,Strata,65,"27,692",-,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,11 to 15,1.28296148659589,103.839814598308,1 PEARL BANK ONE PEARL BANK SINGAPORE 169016,OUTRAM PARK MRT STATION; OUTRAM PARK MRT STATION; OUTRAM PARK MRT STATION; CHINATOWN MRT STATION; MAXWELL MRT STATION; CHINATOWN MRT STATION; HAVELOCK MRT STATION; TELOK AYER MRT STATION; TANJONG PAGAR MRT STATION; CLARKE QUAY MRT STATION,Amoy Street Food Centre (Telok Ayer Food Centre); Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre); Upper Cross Street Blk 531A (Hong Lim Food Centre and Market); Maxwell Food Centre (Kim Hua Market); Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Smith Street Blk 335 (Chinatown Complex Market); New Market Road Blk 32 (People's Park Food Centre),People's Park Centre; People's Park Complex; Singapore Shopping Centre; Tanjong Pagar Centre
STIRLING RESIDENCES,"1,750,000",678.13,"2,581",Jun-25,STIRLING ROAD,Resale,Strata,63,"27,778",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,26 to 30,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
ONE PEARL BANK,"2,970,000","1,184.04","2,508",Jun-25,PEARL BANK,Sub Sale,Strata,110,"27,000",-,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,06 to 10,1.28296148659589,103.839814598308,1 PEARL BANK ONE PEARL BANK SINGAPORE 169016,OUTRAM PARK MRT STATION; OUTRAM PARK MRT STATION; OUTRAM PARK MRT STATION; CHINATOWN MRT STATION; MAXWELL MRT STATION; CHINATOWN MRT STATION; HAVELOCK MRT STATION; TELOK AYER MRT STATION; TANJONG PAGAR MRT STATION; CLARKE QUAY MRT STATION,Amoy Street Food Centre (Telok Ayer Food Centre); Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre); Upper Cross Street Blk 531A (Hong Lim Food Centre and Market); Maxwell Food Centre (Kim Hua Market); Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Smith Street Blk 335 (Chinatown Complex Market); New Market Road Blk 32 (People's Park Food Centre),People's Park Centre; People's Park Complex; Singapore Shopping Centre; Tanjong Pagar Centre
QUEENS PEAK,"1,915,000",947.23,"2,022",Jun-25,DUNDEE ROAD,Resale,Strata,88,"21,761",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,11 to 15,1.294336667463,103.807020127351,3 DUNDEE ROAD QUEENS PEAK SINGAPORE 149457,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre); Mei Chin Road Blk 159 (Mei Chin Road Market); Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Alexandra Central; Anchorpoint; Queensway Shopping Centre
TANGLIN VIEW,"2,240,000","1,140.98","1,963",Jun-25,PRINCE CHARLES CRESCENT,Resale,Strata,106,"21,132",-,Condominium,1,99 yrs lease commencing from 1997,3,Rest of Central Region,11 to 15,1.29199744950701,103.817880738443,152 PRINCE CHARLES CRESCENT TANGLIN VIEW SINGAPORE 159013,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),
ECHELON,"905,888",452.09,"2,004",Jun-25,ALEXANDRA VIEW,Resale,Strata,42,"21,569",-,Condominium,1,99 yrs lease commencing from 2012,3,Rest of Central Region,31 to 35,1.29060694545576,103.817866920135,9 ALEXANDRA VIEW ECHELON SINGAPORE 158742,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),
PRINCIPAL GARDEN,"1,820,000",807.3,"2,254",Jun-25,PRINCE CHARLES CRESCENT,Resale,Strata,75,"24,267",-,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,21 to 25,1.29237506748178,103.822836693912,99 PRINCE CHARLES CRESCENT PRINCIPAL GARDEN SINGAPORE 159029,REDHILL MRT STATION; TIONG BAHRU MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Zion Riverside Food Centre; Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Tiong Bahru Plaza
AVENUE SOUTH RESIDENCE,"2,380,000","1,108.69","2,147",Jun-25,SILAT AVENUE,Resale,Strata,103,"23,107",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,01 to 05,1.27662953410733,103.829105212029,11 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168877,KEPPEL MRT STATION; CANTONMENT MRT STATION,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market); Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market,
AVENUE SOUTH RESIDENCE,"3,503,888","1,496.2","2,342",Jun-25,SILAT AVENUE,Resale,Strata,139,"25,208",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,46 to 50,1.27662953410733,103.829105212029,11 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168877,KEPPEL MRT STATION; CANTONMENT MRT STATION,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market); Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market,
COMMONWEALTH TOWERS,"980,000",462.85,"2,117",Jun-25,COMMONWEALTH AVENUE,Resale,Strata,43,"22,791",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,26 to 30,1.29573433474414,103.806030198974,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Mei Chin Road Blk 159 (Mei Chin Road Market),Alexandra Central; Anchorpoint; Queensway Shopping Centre
QUEENS PEAK,"1,880,000",850.36,"2,211",Jun-25,DUNDEE ROAD,Resale,Strata,79,"23,797",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,31 to 35,1.294336667463,103.807020127351,3 DUNDEE ROAD QUEENS PEAK SINGAPORE 149457,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre); Mei Chin Road Blk 159 (Mei Chin Road Market); Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Alexandra Central; Anchorpoint; Queensway Shopping Centre
THE ANCHORAGE,"2,900,000","1,463.9","1,981",Jun-25,ALEXANDRA ROAD,Resale,Strata,136,"21,324",-,Condominium,1,Freehold,3,Rest of Central Region,01 to 05,1.28900346226494,103.804329262814,370G ALEXANDRA ROAD THE ANCHORAGE SINGAPORE 159960,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre); Mei Chin Road Blk 159 (Mei Chin Road Market); Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Alexandra Central; Anchorpoint; Queensway Shopping Centre
TANGLIN VIEW,"2,150,000","1,140.98","1,884",Jun-25,PRINCE CHARLES CRESCENT,Resale,Strata,106,"20,283",-,Condominium,1,99 yrs lease commencing from 1997,3,Rest of Central Region,11 to 15,1.29199744950701,103.817880738443,152 PRINCE CHARLES CRESCENT TANGLIN VIEW SINGAPORE 159013,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),
STIRLING RESIDENCES,"1,165,000",505.91,"2,303",Jun-25,STIRLING ROAD,Resale,Strata,47,"24,787",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,11 to 15,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
QUEENS PEAK,"1,133,000",495.14,"2,288",Jun-25,DUNDEE ROAD,Resale,Strata,46,"24,630",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,16 to 20,1.294336667463,103.807020127351,3 DUNDEE ROAD QUEENS PEAK SINGAPORE 149457,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre); Mei Chin Road Blk 159 (Mei Chin Road Market); Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Alexandra Central; Anchorpoint; Queensway Shopping Centre
COMMONWEALTH TOWERS,"960,000",441.32,"2,175",Jun-25,COMMONWEALTH AVENUE,Resale,Strata,41,"23,415",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,31 to 35,1.29573433474414,103.806030198974,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Mei Chin Road Blk 159 (Mei Chin Road Market),Alexandra Central; Anchorpoint; Queensway Shopping Centre
STIRLING RESIDENCES,"1,610,000",678.13,"2,374",Jun-25,STIRLING ROAD,Resale,Strata,63,"25,556",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,01 to 05,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
ARTRA,"2,930,000","1,227.1","2,388",Jun-25,ALEXANDRA VIEW,Resale,Strata,114,"25,702",-,Apartment,1,99 yrs lease commencing from 2016,3,Rest of Central Region,21 to 25,1.29003067053998,103.817185273903,10 ALEXANDRA VIEW ARTRA SINGAPORE 158745,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),
EMERALD PARK,"1,448,888",925.7,"1,565",Jun-25,INDUS ROAD,Resale,Strata,86,"16,848",-,Condominium,1,99 yrs lease commencing from 1991,3,Rest of Central Region,01 to 05,1.28975290405411,103.83034971382,4 INDUS ROAD EMERALD PARK SINGAPORE 169587,HAVELOCK MRT STATION; TIONG BAHRU MRT STATION; GREAT WORLD MRT STATION,Zion Riverside Food Centre; Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
COMMONWEALTH TOWERS,"999,888",473.62,"2,111",Jun-25,COMMONWEALTH AVENUE,Resale,Strata,44,"22,725",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,31 to 35,1.29573433474414,103.806030198974,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Mei Chin Road Blk 159 (Mei Chin Road Market),Alexandra Central; Anchorpoint; Queensway Shopping Centre
THE ANCHORAGE,"3,288,000","1,560.78","2,107",Jun-25,ALEXANDRA ROAD,Resale,Strata,145,"22,676",-,Condominium,1,Freehold,3,Rest of Central Region,06 to 10,1.28900346226494,103.804329262814,370G ALEXANDRA ROAD THE ANCHORAGE SINGAPORE 159960,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre); Mei Chin Road Blk 159 (Mei Chin Road Market); Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Alexandra Central; Anchorpoint; Queensway Shopping Centre
COMMONWEALTH TOWERS,"1,738,000",753.48,"2,307",Jun-25,COMMONWEALTH AVENUE,Resale,Strata,70,"24,829",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,36 to 40,1.29573433474414,103.806030198974,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Mei Chin Road Blk 159 (Mei Chin Road Market),Alexandra Central; Anchorpoint; Queensway Shopping Centre
ECHELON,"1,560,000",731.95,"2,131",Jun-25,ALEXANDRA VIEW,Resale,Strata,68,"22,941",-,Condominium,1,99 yrs lease commencing from 2012,3,Rest of Central Region,16 to 20,1.29060694545576,103.817866920135,9 ALEXANDRA VIEW ECHELON SINGAPORE 158742,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),
STIRLING RESIDENCES,"1,480,000",624.31,"2,371",Jun-25,STIRLING ROAD,Resale,Strata,58,"25,517",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,21 to 25,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
ARTRA,"2,880,000","1,227.1","2,347",Jun-25,ALEXANDRA VIEW,Resale,Strata,114,"25,263",-,Apartment,1,99 yrs lease commencing from 2016,3,Rest of Central Region,26 to 30,1.29003067053998,103.817185273903,10 ALEXANDRA VIEW ARTRA SINGAPORE 158745,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),
STIRLING RESIDENCES,"1,100,000",505.91,"2,174",Jun-25,STIRLING ROAD,Resale,Strata,47,"23,404",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,01 to 05,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
STIRLING RESIDENCES,"1,130,000",505.91,"2,234",Jun-25,STIRLING ROAD,Resale,Strata,47,"24,043",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,01 to 05,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
PRINCIPAL GARDEN,"955,000",495.14,"1,929",Jun-25,PRINCE CHARLES CRESCENT,Resale,Strata,46,"20,761",-,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,16 to 20,1.29237506748178,103.822836693912,99 PRINCE CHARLES CRESCENT PRINCIPAL GARDEN SINGAPORE 159029,REDHILL MRT STATION; TIONG BAHRU MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Zion Riverside Food Centre; Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Tiong Bahru Plaza
CENTRAL GREEN CONDOMINIUM,"2,300,000","1,808.35","1,272",Jun-25,JALAN MEMBINA,Resale,Strata,168,"13,690",-,Condominium,1,99 yrs lease commencing from 1992,3,Rest of Central Region,11 to 15,1.28519576156367,103.827677219577,1 JALAN MEMBINA CENTRAL GREEN CONDOMINIUM SINGAPORE 169479,TIONG BAHRU MRT STATION; HAVELOCK MRT STATION,Zion Riverside Food Centre; Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Tiong Bahru Plaza
PRINCIPAL GARDEN,"1,800,000",796.54,"2,260",May-25,PRINCE CHARLES CRESCENT,Resale,Strata,74,"24,324",-,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,11 to 15,1.29237506748178,103.822836693912,99 PRINCE CHARLES CRESCENT PRINCIPAL GARDEN SINGAPORE 159029,REDHILL MRT STATION; TIONG BAHRU MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Zion Riverside Food Centre; Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Tiong Bahru Plaza
THE ANCHORAGE,"2,930,000","1,463.9","2,001",May-25,ALEXANDRA ROAD,Resale,Strata,136,"21,544",-,Condominium,1,Freehold,3,Rest of Central Region,01 to 05,1.28900346226494,103.804329262814,370G ALEXANDRA ROAD THE ANCHORAGE SINGAPORE 159960,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre); Mei Chin Road Blk 159 (Mei Chin Road Market); Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Alexandra Central; Anchorpoint; Queensway Shopping Centre
AVENUE SOUTH RESIDENCE,"1,670,000",731.95,"2,282",May-25,SILAT AVENUE,Resale,Strata,68,"24,559",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,16 to 20,1.27662953410733,103.829105212029,11 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168877,KEPPEL MRT STATION; CANTONMENT MRT STATION,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market); Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market,
PRINCIPAL GARDEN,"955,000",495.14,"1,929",May-25,PRINCE CHARLES CRESCENT,Resale,Strata,46,"20,761",-,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,06 to 10,1.29237506748178,103.822836693912,99 PRINCE CHARLES CRESCENT PRINCIPAL GARDEN SINGAPORE 159029,REDHILL MRT STATION; TIONG BAHRU MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Zion Riverside Food Centre; Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Tiong Bahru Plaza
RIVIERE,"2,428,888",839.59,"2,893",May-25,JIAK KIM STREET,Resale,Strata,78,"31,140",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,16 to 20,1.3546911714716,103.875392408709,19B LIM TUA TOW ROAD CASA RIVIERA SINGAPORE 547802,SERANGOON MRT STATION; SERANGOON MRT STATION,,NEX; Upper Serangoon Shopping Centre
ONE PEARL BANK,"2,275,000",839.59,"2,710",May-25,PEARL BANK,Sub Sale,Strata,78,"29,167",-,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,36 to 40,1.28296148659589,103.839814598308,1 PEARL BANK ONE PEARL BANK SINGAPORE 169016,OUTRAM PARK MRT STATION; OUTRAM PARK MRT STATION; OUTRAM PARK MRT STATION; CHINATOWN MRT STATION; MAXWELL MRT STATION; CHINATOWN MRT STATION; HAVELOCK MRT STATION; TELOK AYER MRT STATION; TANJONG PAGAR MRT STATION; CLARKE QUAY MRT STATION,Amoy Street Food Centre (Telok Ayer Food Centre); Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre); Upper Cross Street Blk 531A (Hong Lim Food Centre and Market); Maxwell Food Centre (Kim Hua Market); Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Smith Street Blk 335 (Chinatown Complex Market); New Market Road Blk 32 (People's Park Food Centre),People's Park Centre; People's Park Complex; Singapore Shopping Centre; Tanjong Pagar Centre
COMMONWEALTH TOWERS,"990,000",441.32,"2,243",May-25,COMMONWEALTH AVENUE,Resale,Strata,41,"24,146",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,21 to 25,1.29573433474414,103.806030198974,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Mei Chin Road Blk 159 (Mei Chin Road Market),Alexandra Central; Anchorpoint; Queensway Shopping Centre
ARTRA,"2,520,000","1,044.11","2,414",May-25,ALEXANDRA VIEW,Resale,Strata,97,"25,979",-,Apartment,1,99 yrs lease commencing from 2016,3,Rest of Central Region,11 to 15,1.29003067053998,103.817185273903,10 ALEXANDRA VIEW ARTRA SINGAPORE 158745,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),
QUEENS PEAK,"1,630,000",807.3,"2,019",May-25,DUNDEE ROAD,Resale,Strata,75,"21,733",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,11 to 15,1.294336667463,103.807020127351,3 DUNDEE ROAD QUEENS PEAK SINGAPORE 149457,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre); Mei Chin Road Blk 159 (Mei Chin Road Market); Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Alexandra Central; Anchorpoint; Queensway Shopping Centre
ALEX RESIDENCES,"1,570,000",678.13,"2,315",May-25,ALEXANDRA VIEW,Resale,Strata,63,"24,921",-,Apartment,1,99 yrs lease commencing from 2013,3,Rest of Central Region,31 to 35,1.29056999681587,103.819000781728,28 ALEXANDRA VIEW ALEX RESIDENCES SINGAPORE 158744,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre); Beo Crescent Market,
COMMONWEALTH TOWERS,"2,500,000","1,054.87","2,370",May-25,COMMONWEALTH AVENUE,Resale,Strata,98,"25,510",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,06 to 10,1.29573433474414,103.806030198974,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Mei Chin Road Blk 159 (Mei Chin Road Market),Alexandra Central; Anchorpoint; Queensway Shopping Centre
ECHELON,"3,170,000","1,474.67","2,150",May-25,ALEXANDRA VIEW,Resale,Strata,137,"23,139",-,Condominium,1,99 yrs lease commencing from 2012,3,Rest of Central Region,21 to 25,1.29060694545576,103.817866920135,9 ALEXANDRA VIEW ECHELON SINGAPORE 158742,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),
STIRLING RESIDENCES,"1,720,000",678.13,"2,536",May-25,STIRLING ROAD,Resale,Strata,63,"27,302",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,21 to 25,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
AVENUE SOUTH RESIDENCE,"660,000",473.62,"1,394",May-25,SILAT AVENUE,Resale,Strata,44,"15,000",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,01 to 05,1.27662953410733,103.829105212029,11 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168877,KEPPEL MRT STATION; CANTONMENT MRT STATION,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market); Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market,
