Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
ONE DEVONSHIRE,"3,280,000","1,270.15","2,582",Jun-25,DEVONSHIRE ROAD,Resale,Strata,118,"27,797",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
GRANDEUR 8,"1,690,000","1,227.1","1,377",Jun-25,ANG MO KIO CENTRAL 3,Resale,Strata,114,"14,825",-,Condominium,1,99 yrs lease commencing from 2002,20,Outside Central Region,01 to 05
CASA MEYA,"1,500,000",807.3,"1,858",Jun-25,MEYAPPA CHETTIAR ROAD,Resale,Strata,75,"20,000",-,Apartment,1,Freehold,13,Rest of Central Region,06 to 10
CENTRAL GREEN CONDOMINIUM,"2,430,000","1,442.38","1,685",Jun-25,JALAN MEMBINA,Resale,Strata,134,"18,134",-,Condominium,1,99 yrs lease commencing from 1992,03,Rest of Central Region,01 to 05
PALM GARDENS,"1,322,800","1,205.57","1,097",Jun-25,HONG SAN WALK,Resale,Strata,112,"11,811",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,16 to 20
PARC STEVENS,"4,128,000","1,722.24","2,397",Jun-25,STEVENS DRIVE,Resale,Strata,160,"25,800",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
D'LEEDON,"5,600,000","4,908.38","1,141",Jun-25,LEEDON HEIGHTS,Resale,Strata,456,"12,281",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,01 to 05
RIVERSOUND RESIDENCE,"1,348,000",904.18,"1,491",Jun-25,SENGKANG EAST AVENUE,Resale,Strata,84,"16,048",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
NORMANTON PARK,"1,060,000",527.44,"2,010",Jun-25,NORMANTON PARK,Sub Sale,Strata,49,"21,633",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,21 to 25
LEEDON GREEN,"2,126,800",818.06,"2,600",Jun-25,LEEDON HEIGHTS,Sub Sale,Strata,76,"27,984",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
VIVA VISTA,"990,000",699.66,"1,415",Jun-25,SOUTH BUONA VISTA ROAD,Resale,Strata,65,"15,231",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
THE CONTINUUM,"1,544,000",559.73,"2,758",Jun-25,THIAM SIEW AVENUE,New Sale,Strata,52,"29,692",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
CANNINGHILL PIERS,"5,656,000","1,959.05","2,887",Jun-25,CLARKE QUAY,New Sale,Strata,182,"31,077",-,Apartment,1,99 yrs lease commencing from 2021,06,Rest of Central Region,11 to 15
EIGHT COURTYARDS,"1,200,000",871.88,"1,376",Jun-25,CANBERRA DRIVE,Resale,Strata,81,"14,815",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,11 to 15
