Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE SAIL @ MARINA BAY,"1,490,000",893.41,"1,668",Dec-20,MARINA BOULEVARD,Resale,Strata,83,"17,952",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,46 to 50
THE TESSARINA,"2,430,000","1,323.97","1,835",Dec-20,WILBY ROAD,Resale,Strata,123,"19,756",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
STUDIOS@TEMBELING,"600,000",398.27,"1,507",Dec-20,TEMBELING ROAD,Resale,Strata,37,"16,216",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
TREASURE AT TAMPINES,"998,000",678.13,"1,472",Dec-20,TAMPINES LANE,New Sale,Strata,63,"15,841",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
SENNETT ESTATE,"900,000",828.83,"1,086",Dec-20,MACPHERSON ROAD,Resale,Strata,77,"11,688",-,Apartment,1,Freehold,13,Rest of Central Region,01 to 05
NOTTINGHILL SUITES,"658,000",505.91,"1,301",Dec-20,TOH TUCK ROAD,Resale,Strata,47,"14,000",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
QUEENS PEAK,"6,000,000","4,639.28","1,293",Dec-20,DUNDEE ROAD,New Sale,Strata,431,"13,921",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,41 to 45
WILSHIRE RESIDENCES,"1,110,730",462.85,"2,400",Dec-20,FARRER ROAD,New Sale,Strata,43,"25,831",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
THE BAYSHORE,"1,400,000","1,431.61",978,Dec-20,BAYSHORE ROAD,Resale,Strata,133,"10,526",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,16 to 20
FORETT@BUKIT TIMAH,"937,000",473.62,"1,978",Dec-20,TOH TUCK ROAD,New Sale,Strata,44,"21,295",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
D' CASTILIA,"700,000",602.78,"1,161",Dec-20,JOO CHIAT LANE,Resale,Strata,56,"12,500",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
