Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
SPOTTISWOODE PARK,975000.0,850.36,1147.0,2025-03-01,Resale,Strata,79.0,12342.0,Apartment,99 yrs lease commencing from 1973,2,Rest of Central Region,11 to 15,1.27524141291212,103.836045808088,101 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080101,1.872386501107952,55.0,5,1,2,9,6,3
SPOTTISWOODE RESIDENCES,1230000.0,602.78,2041.0,2025-03-01,Resale,Strata,56.0,21964.0,Condominium,Freehold,2,Rest of Central Region,06 to 10,1.27527115223131,103.83683222505,48 SPOTTISWOODE PARK ROAD SPOTTISWOODE RESIDENCES SINGAPORE 088660,1.7934708849757457,55.0,6,1,2,9,6,3
LUMIERE,1301000.0,678.13,1919.0,2025-03-01,Resale,Strata,63.0,20651.0,Apartment,99 yrs lease commencing from 2006,2,Core Central Region,41 to 45,1.27426245685335,103.846025087372,2 MISTRI ROAD LUMIERE SINGAPORE 079624,1.1135521240097797,55.0,8,4,3,8,3,6
LUMIERE,1286000.0,678.13,1896.0,2025-03-01,Resale,Strata,63.0,20413.0,Apartment,99 yrs lease commencing from 2006,2,Core Central Region,36 to 40,1.27426245685335,103.846025087372,2 MISTRI ROAD LUMIERE SINGAPORE 079624,1.1135521240097797,55.0,8,4,3,8,3,6
SKYSUITES@ANSON,2520000.0,1011.82,2491.0,2025-03-01,Resale,Strata,94.0,26809.0,Apartment,99 yrs lease commencing from 2008,2,Core Central Region,61 to 65,1.27464397804711,103.844741587315,8 ENGGOR STREET SKYSUITES@ANSON SINGAPORE 079718,1.157082586435758,55.0,9,4,3,8,3,6
EON SHENTON,1338000.0,581.26,2302.0,2025-03-01,Resale,Strata,54.0,24778.0,Apartment,99 yrs lease commencing from 2011,2,Core Central Region,26 to 30,1.27388660363944,103.846235542245,70 SHENTON WAY EON SHENTON SINGAPORE 079118,1.1387030521425856,55.0,8,4,3,8,2,6
ICON,1900000.0,936.47,2029.0,2025-02-01,Resale,Strata,87.0,21839.0,Apartment,99 yrs lease commencing from 2002,2,Core Central Region,31 to 35,1.27516997577919,103.844496312645,10 GOPENG STREET ICON SINGAPORE 078878,1.1285007026643636,54.0,9,4,3,9,3,6
SKY EVERTON,1200000.0,462.85,2593.0,2025-02-01,Resale,Strata,43.0,27907.0,Apartment,Freehold,2,Rest of Central Region,06 to 10,1.27588976787545,103.838151709122,50 EVERTON ROAD SKY EVERTON SINGAPORE 089396,1.6318014192389168,54.0,6,3,2,10,6,6
WALLICH RESIDENCE,3128000.0,914.94,3419.0,2025-02-01,Resale,Strata,85.0,36800.0,Apartment,99 yrs lease commencing from 2011,2,Core Central Region,56 to 60,1.27711736000318,103.845790152215,3 WALLICH STREET WALLICH RESIDENCE SINGAPORE 078882,0.8713769583307371,54.0,13,7,6,9,4,9
SKYSUITES@ANSON,1500000.0,699.66,2144.0,2025-02-01,Resale,Strata,65.0,23077.0,Apartment,99 yrs lease commencing from 2008,2,Core Central Region,26 to 30,1.27464397804711,103.844741587315,8 ENGGOR STREET SKYSUITES@ANSON SINGAPORE 079718,1.157082586435758,54.0,9,4,3,8,3,6
