Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Area (SQM),Unit Price ($ PSM),Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2025,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km,Floor_Level_Category,Type_of_Sale_Encoded,Property_Type_Encoded,Market_Segment_Encoded
GILSTEAD COURT,2998000.0,1463.9,2048.0,2025-06-01,136.0,22044.0,1.31852490969421,103.839521125521,52H GILSTEAD ROAD GILSTEAD COURT SINGAPORE 309097,4.130671506328448,3.0,3,1,3,14,12,7,,1.0,1,0
SOLEIL @ SINARAN,2488000.0,1097.93,2266.0,2025-06-01,102.0,24392.0,1.31960020004528,103.845271738384,2 SINARAN DRIVE SOLEIL @ SINARAN SINGAPORE 307467,4.096964545722665,3.0,1,1,4,14,14,7,2.0,1.0,1,0
L'VIV,2260000.0,1001.05,2258.0,2025-06-01,93.0,24301.0,1.31544838531983,103.840354841468,23 NEWTON ROAD L'VIV SINGAPORE 307955,3.778505845346688,3.0,3,1,2,14,12,6,4.0,1.0,0,0
SHELFORD REGENCY,2530000.0,1151.75,2197.0,2025-06-01,107.0,23645.0,1.32659730501812,103.811332907782,65 SHELFORD ROAD SHELFORD REGENCY SINGAPORE 288455,6.53669061517323,3.0,3,1,0,13,7,8,1.0,1.0,1,0
MOUNT ROSIE GARDEN,4700000.0,2960.1,1588.0,2025-06-01,275.0,17091.0,1.32151951282408,103.833947029498,50 GOLDHILL AVENUE MOUNT ROSIE GARDEN SINGAPORE 309031,4.662976062716815,3.0,4,0,0,14,8,4,1.0,1.0,1,0
NEWTON 18,2960000.0,1248.62,2371.0,2025-06-01,116.0,25517.0,1.31429426375311,103.841150697585,18 NEWTON ROAD NEWTON 18 SINGAPORE 307989,3.6298212404791177,3.0,3,1,2,14,10,6,4.0,1.0,0,0
WATTEN HILL,4200000.0,2669.47,1573.0,2025-06-01,248.0,16935.0,1.33080602433021,103.809520144553,48 WATTEN VIEW WATTEN HILL SINGAPORE 287179,7.018102241408999,3.0,1,1,0,11,6,5,,1.0,1,0
FYVE DERBYSHIRE,2550000.0,936.47,2723.0,2025-06-01,87.0,29310.0,1.3162773675544,103.845724040655,5 DERBYSHIRE ROAD FYVE DERBYSHIRE SINGAPORE 309461,3.7261930135692727,3.0,3,2,2,14,13,7,4.0,1.0,0,0
SHELFORD SUITES,2680000.0,1291.68,2075.0,2025-06-01,120.0,22333.0,1.32660135432463,103.812654850327,16 SHELFORD ROAD SHELFORD SUITES SINGAPORE 288383,6.438582001199515,3.0,3,1,0,13,7,8,1.0,1.0,1,0
THE ARCADIA,4390000.0,3735.11,1175.0,2025-06-01,347.0,12651.0,1.33337474399547,103.811275631559,235 ARCADIA ROAD THE ARCADIA SINGAPORE 289843,7.111379394487015,3.0,1,0,0,9,6,5,2.0,1.0,1,0
