District,Demographic,N_Samples,Alpha,R2,RMSE,MAE
25,Families_36_59,953,162.97508346206433,0.8738436111628909,0.3570790081356325,0.24407252865278317
25,Retirees_60_Plus,953,162.97508346206433,0.8742024183212144,0.3565708541890172,0.2440338097635716
26,Young_Adults_20_35,4326,107.22672220103232,0.9179366279479513,0.28771369610281233,0.18134906085288274
26,Families_36_59,4326,107.22672220103232,0.917939252301539,0.2877090955819681,0.18131932009340954
26,Retirees_60_Plus,4326,107.22672220103232,0.917959424998801,0.28767373016441267,0.18118261851787773
27,Young_Adults_20_35,2684,23.10129700083158,0.8350801932719684,0.40047147523250026,0.2954407301478098
27,Families_36_59,2684,26.560877829466893,0.8349703718242862,0.40060479165687257,0.2956767719054167
27,Retirees_60_Plus,2684,26.560877829466893,0.8349828554371304,0.4005896395603793,0.29567025079259984
28,Young_Adults_20_35,5799,141.74741629268047,0.8433346874261823,0.39802603472813863,0.3064576171492915
28,Families_36_59,5799,141.74741629268047,0.8433433625563056,0.3980150144984891,0.30644440345193924
28,Retirees_60_Plus,5799,141.74741629268047,0.8433755676025114,0.3979741009726196,0.3063799380041443
